Title,Genre,Is Series,Hidden Gem Score,Runtime,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,IMDb Votes,Minimum Age,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western
Lets Fight Ghost,"Crime, Drama, Fantasy, Horror, Romance",1,4.3,1.0,7.9,98.0,82.0,74.0,57.0,2122065.0,1614816000,205926.0,17,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
HOW TO BUILD A GIRL,Comedy,0,7.0,3.0,5.8,79.0,69.0,1.0,0.0,70632.0,1614816000,2838.0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joker,"Crime, Drama, Thriller",0,3.5,3.0,8.4,68.0,59.0,112.0,228.0,335451311.0,1614729600,951938.0,17,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
I,"Action, Adventure, Fantasy, Sci-Fi",0,2.8,3.0,6.5,52.0,51.0,26.0,69.0,474544677.0,1614729600,733336.0,10,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Harrys Daughters,"Adventure, Drama, Fantasy, Mystery",0,4.4,3.0,8.1,96.0,85.0,46.0,94.0,381409310.0,1614729600,766594.0,13,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
The Closet,Comedy,0,3.8,3.0,7.0,85.0,72.0,1.0,1.0,6678894.0,1614556800,16657.0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alice,"Comedy, Romance",1,3.5,1.0,6.6,75.0,67.0,1.0,7.0,7331647.0,1614556800,13379.0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ordinary People,Drama,0,4.2,3.0,7.7,89.0,86.0,19.0,14.0,54766923.0,1614470400,47265.0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paths of the Soul,Drama,0,8.9,3.0,7.5,94.0,90.0,5.0,7.0,31747.0,1614470400,738.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stand by Me,"Adventure, Drama",0,4.1,3.0,8.1,91.0,75.0,5.0,11.0,52287414.0,1614470400,364302.0,17,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wonderstruck,"Adventure, Drama, Mystery",0,3.6,3.0,6.2,68.0,71.0,1.0,33.0,1060377.0,1614470400,9533.0,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Girl on the Train,"Crime, Drama, Mystery, Thriller",0,2.6,5.0,6.5,44.0,48.0,4.0,12.0,75395035.0,1614384000,169614.0,17,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Ride Your Wave,"Animation, Comedy, Drama, Family, Fantasy, Romance",0,7.9,3.0,6.8,93.0,63.0,2.0,3.0,332432.0,1614297600,1601.0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Red,"Action, Comedy, Crime, Thriller",0,3.4,5.0,7.0,72.0,60.0,4.0,19.0,90380162.0,1614038400,290548.0,13,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Burden,Drama,0,7.8,3.0,6.6,97.0,57.0,2.0,1.0,139270.0,1613692800,1814.0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Love,"Drama, Romance",0,2.5,3.0,6.1,40.0,51.0,2.0,1.0,249083.0,1613692800,48843.0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Repo Man,"Action, Comedy, Crime, Sci-Fi, Thriller",0,4.2,3.0,6.9,98.0,82.0,2.0,3.0,129000.0,1613433600,33965.0,17,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
The Crew,"Comedy, Crime",1,4.7,1.0,5.7,20.0,37.0,1.0,0.0,13023075.0,1613433600,4473.0,13,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
